,timestamp,gfx,gFy,gFz,wx,wy,wz,I,devicemodeDescription,devicemode
0,0.02,3.79999995232,9.42000007629,3.56999993324,0.170000001788,0.799999952316,0.070000000298,11872,talking,3
1,0.04,3.79999995232,9.42000007629,3.56999993324,0.170000001788,0.799999952316,0.070000000298,11872,talking,3
2,0.06,3.79999995232,9.42000007629,3.56999993324,0.170000001788,0.799999952316,0.070000000298,11872,talking,3
3,0.08,3.79999995232,9.42000007629,3.56999993324,0.170000001788,0.799999952316,0.070000000298,11872,talking,3
4,0.1,3.98000001907,8.0,3.13999986649,-0.00999999977648,0.0499999970198,0.0399999991059,11872,talking,3
5,0.12,3.98000001907,8.0,3.13999986649,-0.00999999977648,0.0499999970198,0.0399999991059,11872,talking,3
6,0.14,3.75,6.94000005722,1.41999995708,-0.00999999977648,0.0499999970198,0.0399999991059,1982,talking,3
7,0.16,3.75,6.94000005722,1.41999995708,-0.00999999977648,0.0499999970198,0.0399999991059,1982,talking,3
8,0.18,3.75,6.94000005722,1.41999995708,-0.00999999977648,0.0499999970198,0.0399999991059,1982,talking,3
9,0.2,4.17999982834,6.25999975204,0.620000004768,-0.00999999977648,0.0499999970198,0.0399999991059,1982,talking,3
10,0.22,4.17999982834,6.25999975204,0.620000004768,-0.00999999977648,0.0499999970198,0.0399999991059,1982,talking,3
11,0.24,4.17999982834,6.25999975204,0.620000004768,-0.00999999977648,0.0499999970198,0.0399999991059,1982,talking,3
12,0.26,6.36999988556,5.71999979019,0.259999990463,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
13,0.28,6.36999988556,5.71999979019,0.259999990463,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
14,0.3,6.36999988556,5.71999979019,0.259999990463,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
15,0.32,5.36999988556,6.50999975204,-0.00999999977648,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
16,0.34,5.36999988556,6.50999975204,-0.00999999977648,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
17,0.36,5.36999988556,6.50999975204,-0.00999999977648,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
18,0.38,6.35999965668,7.25,0.680000007153,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
19,0.4,6.35999965668,7.25,0.680000007153,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
20,0.42,6.35999965668,7.25,0.680000007153,-0.119999997318,-0.379999995232,0.129999995232,1982,talking,3
21,0.44,8.84000015259,9.85999965668,1.57999992371,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
22,0.46,8.84000015259,9.85999965668,1.57999992371,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
23,0.48,8.84000015259,9.85999965668,1.57999992371,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
24,0.5,7.32999992371,12.3999996185,-1.63999998569,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
25,0.52,7.32999992371,12.3999996185,-1.63999998569,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
26,0.54,6.03999996185,12.4399995804,-0.939999997616,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
27,0.56,6.03999996185,12.4399995804,-0.939999997616,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
28,0.58,6.03999996185,12.4399995804,-0.939999997616,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
29,0.6,6.03999996185,12.4399995804,-0.939999997616,-0.0899999961257,-0.689999997616,0.310000002384,1982,talking,3
30,0.62,4.46000003815,8.36999988556,0.939999997616,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
31,0.64,4.46000003815,8.36999988556,0.939999997616,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
32,0.66,4.46000003815,8.36999988556,0.939999997616,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
33,0.68,3.58999991417,7.25999975204,-2.1099998951,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
34,0.7,3.58999991417,7.25999975204,-2.1099998951,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
35,0.72,3.58999991417,7.25999975204,-2.1099998951,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
36,0.74,3.97000002861,5.67000007629,-0.0499999970198,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
37,0.76,3.97000002861,5.67000007629,-0.0499999970198,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
38,0.78,3.97000002861,5.67000007629,-0.0499999970198,-0.0599999986589,0.449999988079,0.149999991059,1982,talking,3
39,0.8,4.71000003815,4.23000001907,-0.519999980927,0.0399999991059,0.579999983311,0.0,1982,talking,3
40,0.82,4.71000003815,4.23000001907,-0.519999980927,0.0399999991059,0.579999983311,0.0,1982,talking,3
41,0.84,4.71000003815,4.23000001907,-0.519999980927,0.0399999991059,0.579999983311,0.0,1982,talking,3
42,0.86,5.19000005722,4.63000011444,-0.219999998808,0.0399999991059,0.579999983311,0.0,1982,talking,3
43,0.88,5.19000005722,4.63000011444,-0.219999998808,0.0399999991059,0.579999983311,0.0,1982,talking,3
44,0.9,5.19000005722,4.63000011444,-0.219999998808,0.0399999991059,0.579999983311,0.0,1982,talking,3
45,0.92,5.58999967575,6.44000005722,-0.189999997616,0.509999990463,0.449999988079,-0.0299999993294,1982,talking,3
46,0.94,5.58999967575,6.44000005722,-0.189999997616,0.509999990463,0.449999988079,-0.0299999993294,1982,talking,3
