time,gfx,gFy,gFz,wx,wy,wz,I,mode
0,0.208648681640625,3.73626708984375,8.666397094726562,0.05450439453125,-0.1646881103515625,-0.1002960205078125,1625.3692626953125,texting
0.02,-0.330169677734375,4.100250244140625,8.025375366210938,0.05450439453125,-0.1646881103515625,-0.1002960205078125,1534.8438720703125,texting
0.04,-0.29058837890625,4.080078125,8.31353759765625,-0.02899169921875,-0.014434814453125,-0.3203125,1534.8438720703125,texting
0.06,0.0441131591796875,3.611236572265625,8.823135375976562,-0.02899169921875,-0.014434814453125,-0.3203125,1534.8438720703125,texting
0.08,0.266204833984375,3.22332763671875,8.913345336914062,-0.02899169921875,-0.014434814453125,-0.3203125,1534.8438720703125,texting
0.1,0.3795928955078125,3.101043701171875,8.387298583984375,-0.02899169921875,-0.014434814453125,-0.3203125,2006.33349609375,texting
0.12,0.37896728515625,3.0305023193359375,7.778289794921875,-0.02899169921875,-0.014434814453125,-0.3203125,2006.33349609375,texting
0.14,0.4988861083984375,3.048828125,7.47845458984375,-0.02899169921875,-0.014434814453125,-0.3203125,2006.33349609375,texting
0.16,0.5246429443359375,3.050872802734375,7.2952117919921875,-0.02899169921875,-0.014434814453125,-0.3203125,2006.33349609375,texting
0.18,0.442535400390625,3.1813201904296875,6.959869384765625,-0.02899169921875,-0.014434814453125,-0.3203125,2006.33349609375,texting
0.2,0.3601837158203125,3.389129638671875,6.8570098876953125,-0.02899169921875,-0.014434814453125,-0.3203125,1461.576416015625,texting
0.22,0.0110931396484375,3.5132598876953125,7.0197296142578125,-0.02899169921875,-0.014434814453125,-0.3203125,1461.576416015625,texting
0.24,-0.2716217041015625,3.57537841796875,7.0452117919921875,-0.07989501953125,0.0552978515625,-0.2953643798828125,1461.576416015625,texting
0.26,-0.010894775390625,3.8808746337890625,6.84130859375,-0.07989501953125,0.0552978515625,-0.2953643798828125,1461.576416015625,texting
0.28,-0.010894775390625,3.8808746337890625,6.84130859375,-0.07989501953125,0.0552978515625,-0.2953643798828125,1461.576416015625,texting
0.3,-0.0406036376953125,4.0975494384765625,7.4141693115234375,-0.07989501953125,0.0552978515625,-0.2953643798828125,1311.9736328125,texting
0.32,-0.1114654541015625,4.153564453125,8.17938232421875,-0.07989501953125,0.0552978515625,-0.2953643798828125,1311.9736328125,texting
0.34,-0.0627288818359375,4.1868438720703125,8.686203002929688,-0.07989501953125,0.0552978515625,-0.2953643798828125,1311.9736328125,texting
0.36,0.0069122314453125,4.0294647216796875,8.987503051757812,-0.07989501953125,0.0552978515625,-0.2953643798828125,1311.9736328125,texting
